County,stats_type,vtd_abbrv,party_cd,race_code,ethnic_code,sex_code,age,total_voters
Alamance,voter,264,UNA,B,NL,M,Age 26 - 40,4
Alamance,voter,253,DEM,W,UN,F,Age Over 66,3
Alamance,voter,180,REP,M,UN,M,Age 26 - 40,2
Alamance,voter,181,REP,W,HL,M,Age 41 - 65,4
Alamance,voter,427,REP,O,HL,F,Age 41 - 65,2
Alamance,voter,183,LIB,M,UN,M,Age 41 - 65,1
Alamance,voter,340,DEM,W,UN,U,Age Over 66,1
Alamance,voter,219,DEM,B,UN,F,Age 18 - 25,2
Alamance,voter,417,DEM,B,UN,F,Age Over 66,5
Alamance,voter,179,UNA,B,NL,M,Age 18 - 25,1
Alamance,voter,425,REP,W,NL,M,Age Over 66,17
Alamance,voter,427,UNA,B,NL,F,Age 26 - 40,17
Alamance,voter,340,DEM,B,NL,M,Age 18 - 25,9
Alamance,voter,427,UNA,O,NL,F,Age 26 - 40,1
Alamance,voter,426,REP,U,UN,M,Age 41 - 65,1
Alamance,voter,373,DEM,I,UN,F,Age Over 66,1
Alamance,voter,427,DEM,O,NL,M,Age 41 - 65,2
Alamance,voter,253,DEM,B,NL,F,Age 18 - 25,38
Alamance,voter,261,UNA,O,HL,M,Age 41 - 65,2
Alamance,voter,339,REP,W,HL,M,Age 41 - 65,1
Alamance,voter,373,REP,W,HL,F,Age 26 - 40,1
Alamance,voter,419,DEM,B,UN,F,Age 41 - 65,4
Alamance,voter,181,DEM,A,UN,M,Age 41 - 65,5
Alamance,voter,263,UNA,W,UN,F,Age 18 - 25,11
Alamance,voter,421,DEM,U,HL,F,Age 41 - 65,6
Alamance,voter,373,REP,W,NL,F,Age 26 - 40,195
Alamance,voter,373,DEM,O,NL,M,Age 18 - 25,1
Alamance,voter,262,DEM,W,NL,F,Age 41 - 65,67
Alamance,voter,265,REP,U,NL,M,Age 41 - 65,1
Alamance,voter,219,DEM,W,NL,F,Age 41 - 65,104
Alamance,voter,265,REP,U,UN,U,Age 41 - 65,3
Alamance,voter,182,UNA,B,UN,F,Age 18 - 25,2
Alamance,voter,373,DEM,W,UN,M,Age Over 66,10
Alamance,voter,180,DEM,B,UN,F,Age 26 - 40,7
Alamance,voter,183,DEM,W,UN,M,Age 18 - 25,3
Alamance,voter,359,DEM,O,HL,F,Age 18 - 25,2
Alamance,voter,427,REP,W,NL,F,Age 18 - 25,22
Alamance,voter,181,UNA,O,NL,F,Age 41 - 65,7
Alamance,voter,183,REP,O,NL,F,Age 26 - 40,1
Alamance,voter,373,REP,U,UN,U,Age 41 - 65,3
Alamance,voter,263,REP,U,UN,M,Age Over 66,1
Alamance,voter,373,DEM,U,NL,F,Age Over 66,1
Alamance,voter,422,REP,A,UN,U,Age 26 - 40,1
Alamance,voter,169,DEM,M,NL,M,Age 26 - 40,1
Alamance,voter,414,REP,I,NL,M,Age 41 - 65,1
Alamance,voter,129,REP,M,HL,M,Age 18 - 25,1
Alamance,voter,423,UNA,W,NL,F,Age 41 - 65,37
Alamance,voter,181,DEM,M,NL,M,Age 41 - 65,1
Alamance,voter,424,REP,U,UN,M,Age Over 66,1
Alamance,voter,319,REP,W,NL,M,Age 41 - 65,142
Alamance,voter,340,UNA,W,UN,F,Age Over 66,21
Alamance,voter,183,DEM,W,UN,F,Age 26 - 40,6
Alamance,voter,421,UNA,O,UN,F,Age 41 - 65,1
Alamance,voter,182,DEM,U,HL,F,Age 18 - 25,1
Alamance,voter,254,UNA,U,UN,M,Age 41 - 65,2
Alamance,voter,372,UNA,U,NL,F,Age 18 - 25,1
Alamance,voter,181,REP,W,UN,M,Age 26 - 40,34
Alamance,voter,182,UNA,W,NL,F,Age 41 - 65,143
Alamance,voter,418,DEM,O,NL,F,Age 41 - 65,1
Alamance,voter,179,REP,U,UN,F,Age 41 - 65,1
Alamance,voter,421,UNA,O,HL,M,Age 18 - 25,2
Alamance,voter,265,UNA,W,NL,M,Age 41 - 65,138
Alamance,voter,169,DEM,U,NL,F,Age 26 - 40,1
Alamance,voter,340,DEM,U,HL,M,Age 41 - 65,2
Alamance,voter,182,DEM,O,HL,F,Age 41 - 65,2
Alamance,voter,420,DEM,B,NL,M,Age 18 - 25,44
Alamance,voter,418,DEM,W,UN,M,Age 41 - 65,6
Alamance,voter,414,REP,W,NL,F,Age 26 - 40,25
Alamance,voter,182,DEM,O,NL,F,Age 41 - 65,3
Alamance,voter,219,UNA,W,UN,M,Age Over 66,9
Alamance,voter,261,DEM,O,HL,M,Age Over 66,1
Alamance,voter,372,UNA,B,UN,F,Age 18 - 25,4
Alamance,voter,254,UNA,O,UN,F,Age 26 - 40,1
Alamance,voter,261,UNA,W,NL,F,Age 41 - 65,55
Alamance,voter,169,UNA,U,HL,F,Age 41 - 65,3
Alamance,voter,373,UNA,A,NL,F,Age 18 - 25,4
Alamance,voter,265,UNA,U,HL,F,Age 18 - 25,1
Alamance,voter,418,DEM,B,NL,M,Age 26 - 40,7
Alamance,voter,318,UNA,I,UN,M,Age 41 - 65,1
Alamance,voter,340,DEM,B,NL,U,Age 41 - 65,1
Alamance,voter,419,DEM,W,HL,M,Age Over 66,1
Alamance,voter,426,UNA,U,UN,U,Age 26 - 40,6
Alamance,voter,372,DEM,B,UN,M,Age Over 66,3
Alamance,voter,373,DEM,O,UN,M,Age 18 - 25,1
Alamance,voter,419,UNA,W,NL,F,Age 26 - 40,27
Alamance,voter,424,UNA,U,UN,F,Age 18 - 25,2
Alamance,voter,339,UNA,B,NL,F,Age Over 66,3
Alamance,voter,421,UNA,W,NL,F,Age 18 - 25,16
Alamance,voter,182,REP,W,UN,U,Age Over 66,1
Alamance,voter,319,DEM,O,NL,F,Age 26 - 40,1
Alamance,voter,359,REP,W,NL,M,Age 26 - 40,71
Alamance,voter,424,UNA,U,HL,F,Age 18 - 25,5
Alamance,voter,424,DEM,B,NL,F,Age 18 - 25,63
Alamance,voter,427,REP,A,UN,M,Age Over 66,1
Alamance,voter,421,UNA,U,HL,F,Age 18 - 25,3
Alamance,voter,179,DEM,B,NL,M,Age 41 - 65,25
Alamance,voter,179,UNA,B,NL,F,Age 26 - 40,2
Alamance,voter,419,UNA,W,NL,M,Age 18 - 25,13
Alamance,voter,417,REP,W,NL,M,Age Over 66,51
Alamance,voter,180,DEM,U,UN,U,Age 18 - 25,19
Alamance,voter,425,DEM,B,HL,F,Age 26 - 40,1
Alamance,voter,420,UNA,W,UN,F,Age 18 - 25,9
Alamance,voter,414,REP,W,UN,F,Age 41 - 65,16
Alamance,voter,180,UNA,W,NL,F,Age Over 66,72
Alamance,voter,424,DEM,U,HL,F,Age 41 - 65,2
Alamance,voter,373,UNA,M,UN,F,Age 18 - 25,2
Alamance,voter,180,UNA,W,HL,F,Age 41 - 65,1
Alamance,voter,340,REP,O,HL,F,Age Over 66,1
Alamance,voter,318,REP,W,NL,F,Age Over 66,82
Alamance,voter,261,DEM,B,UN,M,Age 18 - 25,9
Alamance,voter,374,REP,W,NL,M,Age 26 - 40,64
Alamance,voter,419,UNA,W,UN,M,Age 41 - 65,16
Alamance,voter,319,DEM,U,UN,F,Age 41 - 65,2
Alamance,voter,425,DEM,B,UN,F,Age 26 - 40,34
Alamance,voter,373,REP,B,UN,F,Age 18 - 25,1
Alamance,voter,318,LIB,W,NL,M,Age 18 - 25,2
Alamance,voter,263,REP,W,UN,M,Age Over 66,13
Alamance,voter,424,UNA,U,UN,M,Age 26 - 40,4
Alamance,voter,426,REP,W,UN,M,Age 41 - 65,23
Alamance,voter,183,REP,B,UN,F,Age 41 - 65,1
Alamance,voter,420,REP,M,NL,F,Age 18 - 25,1
Alamance,voter,427,DEM,I,NL,F,Age 18 - 25,2
Alamance,voter,425,DEM,U,HL,M,Age Over 66,1
Alamance,voter,418,REP,W,NL,M,Age 41 - 65,125
Alamance,voter,262,DEM,U,UN,U,Age 18 - 25,4
Alamance,voter,262,DEM,A,UN,M,Age 41 - 65,1
Alamance,voter,425,DEM,W,NL,F,Age Over 66,26
Alamance,voter,262,DEM,M,NL,M,Age 26 - 40,1
Alamance,voter,318,LIB,W,NL,F,Age 26 - 40,1
Alamance,voter,424,DEM,W,NL,M,Age 26 - 40,8
Alamance,voter,180,DEM,W,NL,U,Age 18 - 25,7
Alamance,voter,219,REP,O,NL,M,Age 26 - 40,1
Alamance,voter,427,REP,W,UN,F,Age 26 - 40,18
Alamance,voter,253,DEM,U,UN,F,Age Over 66,1
Alamance,voter,424,DEM,U,UN,M,Age Over 66,2
Alamance,voter,169,DEM,W,UN,M,Age 18 - 25,15
Alamance,voter,262,UNA,U,UN,F,Age 18 - 25,1
Alamance,voter,182,REP,U,NL,F,Age 26 - 40,1
Alamance,voter,425,DEM,M,HL,F,Age 26 - 40,1
Alamance,voter,424,DEM,M,NL,F,Age 18 - 25,1
Alamance,voter,219,DEM,B,NL,F,Age Over 66,10
Alamance,voter,261,DEM,W,NL,M,Age Over 66,52
Alamance,voter,60,UNA,U,UN,M,Age 41 - 65,6
Alamance,voter,374,DEM,M,UN,F,Age 26 - 40,2
Alamance,voter,60,REP,B,NL,M,Age 26 - 40,1
Alamance,voter,180,REP,W,HL,M,Age 26 - 40,1
Alamance,voter,179,UNA,M,NL,F,Age 26 - 40,1
Alamance,voter,359,REP,W,UN,F,Age 26 - 40,19
Alamance,voter,373,REP,B,UN,M,Age 41 - 65,1
Alamance,voter,373,UNA,B,UN,F,Age 41 - 65,15
Alamance,voter,374,UNA,U,UN,U,Age Over 66,1
Alamance,voter,261,UNA,B,UN,M,Age 26 - 40,6
Alamance,voter,421,DEM,W,UN,M,Age 26 - 40,4
Alamance,voter,423,REP,U,UN,U,Age 18 - 25,1
Alamance,voter,262,DEM,B,UN,F,Age 26 - 40,43
Alamance,voter,414,REP,U,UN,M,Age 41 - 65,1
Alamance,voter,253,REP,U,HL,F,Age 26 - 40,2
Alamance,voter,182,DEM,M,NL,F,Age 41 - 65,1
Alamance,voter,414,LIB,W,NL,F,Age 26 - 40,1
Alamance,voter,417,REP,W,UN,M,Age Over 66,5
Alamance,voter,425,DEM,O,NL,M,Age 26 - 40,2
Alamance,voter,262,LIB,W,NL,F,Age 26 - 40,2
Alamance,voter,254,DEM,A,NL,M,Age 26 - 40,1
Alamance,voter,263,UNA,B,NL,F,Age 26 - 40,9
Alamance,voter,319,UNA,I,NL,F,Age Over 66,1
Alamance,voter,169,REP,W,NL,M,Age 18 - 25,66
Alamance,voter,318,DEM,U,UN,F,Age 18 - 25,2
Alamance,voter,180,REP,M,UN,F,Age 18 - 25,1
Alamance,voter,254,UNA,O,NL,M,Age 41 - 65,2
Alamance,voter,180,DEM,O,NL,F,Age 26 - 40,1
Alamance,voter,422,REP,W,UN,F,Age Over 66,18
Alamance,voter,373,DEM,U,UN,M,Age 18 - 25,7
Alamance,voter,318,REP,W,UN,M,Age 26 - 40,18
Alamance,voter,179,UNA,W,UN,U,Age 41 - 65,1
Alamance,voter,420,REP,U,HL,F,Age 26 - 40,1
Alamance,voter,373,DEM,A,NL,M,Age 18 - 25,1
Alamance,voter,417,UNA,M,HL,F,Age 18 - 25,1
Alamance,voter,264,DEM,U,UN,F,Age Over 66,1
Alamance,voter,373,DEM,U,UN,F,Age 26 - 40,11
Alamance,voter,183,REP,W,UN,F,Age 18 - 25,16
Alamance,voter,261,DEM,W,HL,F,Age 26 - 40,2
Alamance,voter,182,DEM,B,NL,F,Age 18 - 25,9
Alamance,voter,414,UNA,B,UN,F,Age 18 - 25,6
Alamance,voter,422,DEM,U,UN,U,Age 26 - 40,3
Alamance,voter,181,DEM,B,NL,F,Age 26 - 40,90
Alamance,voter,181,UNA,U,UN,F,Age 41 - 65,6
Alamance,voter,262,UNA,M,UN,M,Age 26 - 40,1
Alamance,voter,263,UNA,O,NL,F,Age 41 - 65,1
Alamance,voter,261,DEM,A,NL,F,Age 26 - 40,1
Alamance,voter,181,DEM,B,UN,F,Age 26 - 40,31
Alamance,voter,169,REP,W,HL,M,Age 41 - 65,2
Alamance,voter,253,DEM,W,NL,M,Age 41 - 65,42
Alamance,voter,373,LIB,W,NL,M,Age Over 66,2
Alamance,voter,340,DEM,M,UN,F,Age 26 - 40,4
Alamance,voter,420,REP,B,NL,F,Age 41 - 65,3
Alamance,voter,264,REP,W,NL,M,Age Over 66,27
Alamance,voter,427,DEM,A,UN,M,Age 26 - 40,1
Alamance,voter,169,REP,W,HL,F,Age 18 - 25,2
Alamance,voter,373,REP,W,NL,M,Age 18 - 25,72
Alamance,voter,181,LIB,W,NL,F,Age 26 - 40,2
Alamance,voter,359,UNA,W,NL,F,Age 41 - 65,136
Alamance,voter,422,DEM,B,UN,M,Age Over 66,2
Alamance,voter,179,REP,B,NL,M,Age 41 - 65,1
Alamance,voter,183,REP,O,HL,M,Age 18 - 25,1
Alamance,voter,373,DEM,A,NL,F,Age 26 - 40,3
Alamance,voter,427,LIB,W,UN,F,Age 26 - 40,1
Alamance,voter,180,UNA,O,NL,M,Age 18 - 25,3
Alamance,voter,417,UNA,U,UN,U,Age Over 66,1
Alamance,voter,318,DEM,U,HL,M,Age Over 66,2
Alamance,voter,265,REP,W,NL,M,Age 41 - 65,287
Alamance,voter,263,DEM,U,UN,U,Age 41 - 65,2
Alamance,voter,181,UNA,W,NL,F,Age 41 - 65,212
Alamance,voter,263,UNA,U,UN,M,Age 41 - 65,3
Alamance,voter,340,DEM,B,UN,M,Age 18 - 25,5
Alamance,voter,60,REP,I,UN,F,Age 18 - 25,1
Alamance,voter,374,REP,W,NL,M,Age Over 66,48
Alamance,voter,179,LIB,W,NL,F,Age 26 - 40,1
Alamance,voter,263,UNA,W,HL,M,Age 18 - 25,1
Alamance,voter,182,DEM,U,UN,M,Age 18 - 25,1
Alamance,voter,180,REP,W,HL,F,Age 18 - 25,2
Alamance,voter,421,DEM,W,UN,M,Age Over 66,4
Alamance,voter,417,DEM,A,NL,F,Age 18 - 25,1
Alamance,voter,359,REP,W,UN,F,Age Over 66,13
Alamance,voter,183,REP,W,NL,F,Age 41 - 65,353
Alamance,voter,182,DEM,U,UN,F,Age 26 - 40,1
Alamance,voter,373,DEM,U,HL,U,Age 26 - 40,1
Alamance,voter,374,UNA,M,NL,M,Age 18 - 25,1
Alamance,voter,372,DEM,B,UN,M,Age 26 - 40,14
Alamance,voter,180,REP,O,UN,M,Age 41 - 65,1
Alamance,voter,318,UNA,B,NL,M,Age 26 - 40,3
Alamance,voter,417,UNA,B,NL,F,Age 41 - 65,2
Alamance,voter,421,DEM,M,UN,M,Age 41 - 65,1
Alamance,voter,181,UNA,U,UN,U,Age 26 - 40,16
Alamance,voter,180,UNA,W,NL,F,Age 18 - 25,107
Alamance,voter,424,DEM,A,UN,M,Age 26 - 40,1
Alamance,voter,418,UNA,W,NL,U,Age 18 - 25,1
Alamance,voter,417,REP,B,NL,M,Age 41 - 65,3
Alamance,voter,254,UNA,M,NL,F,Age 41 - 65,1
Alamance,voter,182,REP,W,NL,F,Age 18 - 25,37
Alamance,voter,264,UNA,W,UN,M,Age Over 66,5
Alamance,voter,423,DEM,A,UN,M,Age 26 - 40,1
Alamance,voter,423,REP,W,UN,M,Age Over 66,5
Alamance,voter,169,DEM,W,UN,F,Age 41 - 65,17
Alamance,voter,373,UNA,I,NL,M,Age 26 - 40,2
Alamance,voter,179,DEM,M,UN,F,Age 26 - 40,1
